Age,ca,pa,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Position,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out,Punching,Throwing,Adaptation,Ambition,Argue,Loyal,Resistant to stress,Professional,Sportsmanship,Emotional control,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Values,Current reputation,Domestic reputation,World reputation,RCA,Colour of skin,Number of national team appearances,Goals scored for the national team,Salary
25,137,145,4,8,8,7,12,4,14,6,8,14,14,7,13,12,13,13,13,14,14,12,13,12,7,11,10,14,16,12,13,11,15,15,13,15,14,13,13,10,12,10,17,3,2,3,2,1,4,3,1,3,2,3,12,15,4,12,16,14,14,18,1,15,20,17,12,14,12,1,10,1,1,1,1,1,189,84,14,20,11670804,6994,7294,5994,137,2,38,1,57533
27,137,142,7,6,11,8,11,7,15,8,10,15,12,8,14,12,12,13,14,14,14,10,14,11,8,14,8,14,14,15,12,12,9,15,14,12,14,15,14,9,10,6,7,4,3,1,3,2,1,2,3,3,1,1,11,12,1,14,9,14,10,10,1,1,20,1,1,1,1,1,1,1,1,1,1,1,194,78,8,20,6068917,6850,6850,4850,137,2,0,0,16532
25,137,140,14,12,14,12,14,13,5,15,6,5,14,12,9,14,11,12,8,11,12,14,13,13,16,7,13,9,13,16,14,15,9,7,13,14,13,5,13,8,11,12,16,1,4,2,3,4,2,3,1,3,2,3,15,12,8,13,13,10,9,9,1,1,1,1,1,1,1,17,20,15,17,18,14,1,167,65,15,20,2483107,6976,7076,4483,128,13,15,1,16334
24,137,145,10,13,14,12,13,11,8,11,6,6,14,12,9,15,14,16,8,15,13,15,15,15,17,7,16,13,14,14,14,15,12,9,14,13,12,11,15,5,13,13,15,3,1,3,1,1,2,3,2,3,3,2,11,13,4,14,13,12,16,14,1,1,1,1,1,1,1,10,20,17,12,16,17,1,171,67,10,20,10320235,6941,6896,4850,136,12,1,0,20127
28,137,154,13,14,12,12,15,12,8,13,8,7,15,12,10,16,8,12,9,12,12,15,14,14,15,8,14,11,14,14,11,14,14,7,13,12,13,11,11,8,13,8,14,2,1,2,3,1,1,2,2,2,2,3,8,9,7,15,13,12,6,12,1,1,1,1,1,1,1,12,16,10,20,18,12,1,176,73,14,20,8924879,6850,6850,4450,134,5,0,0,16866
28,137,150,5,4,8,5,12,5,14,5,9,15,12,5,17,12,16,16,18,10,9,7,8,13,8,7,6,15,13,12,15,16,16,14,15,16,16,16,9,14,14,17,12,2,3,1,2,2,3,1,3,2,1,3,14,15,5,14,12,15,13,13,1,1,20,13,1,1,8,1,1,1,1,1,1,1,187,77,10,20,17798932,7050,7250,6250,137,14,46,2,115992
28,137,144,16,15,15,13,16,14,9,15,6,8,17,15,7,16,12,15,8,12,10,16,13,9,16,8,14,9,12,11,12,15,14,8,12,12,12,9,10,11,12,8,15,2,3,3,3,1,3,2,1,2,1,3,20,13,12,10,11,9,10,10,1,12,1,1,13,1,5,13,13,9,18,20,16,5,176,74,20,10,6649695,6836,6836,4260,136,10,1,0,31288
20,137,-85,10,11,15,8,15,9,5,10,4,10,14,11,13,14,12,12,12,11,10,14,11,14,16,4,14,10,12,12,15,15,12,7,13,14,12,8,14,9,15,4,18,2,2,3,2,3,1,3,2,2,3,2,13,14,7,13,13,12,13,12,1,15,1,10,20,12,1,18,1,10,20,10,10,1,175,63,15,20,55520001,6847,5922,4446,124,1,5,0,17885
30,137,138,12,14,12,9,12,13,8,13,16,12,13,13,13,11,14,13,15,12,14,12,14,14,11,11,13,13,16,16,13,12,11,12,14,13,15,11,16,10,16,7,14,3,1,1,1,3,1,2,2,2,1,2,8,12,5,12,11,14,13,10,1,20,1,1,20,1,1,12,1,1,10,1,1,1,182,76,20,11,3433771,6599,6599,4999,136,5,0,0,9588
30,137,138,12,12,14,11,14,9,8,10,5,7,16,14,8,15,12,13,13,14,14,14,15,15,16,8,14,6,13,11,12,14,12,6,13,12,11,10,16,9,16,11,13,2,3,1,3,1,1,2,3,1,2,2,11,15,5,13,13,14,7,13,1,1,1,1,1,1,9,1,19,1,13,20,7,12,171,64,18,20,2118445,6764,6123,5063,135,6,0,0,90996
24,137,148,7,11,16,12,14,13,7,12,5,6,12,12,5,14,8,11,6,11,10,12,11,11,16,9,14,7,11,12,16,15,12,9,14,16,12,9,11,6,14,6,11,3,1,3,3,2,1,3,2,3,2,2,13,15,7,11,12,14,13,13,1,1,1,1,1,1,1,1,1,14,16,17,20,16,175,67,20,9,20245622,6847,7047,5497,127,17,4,1,41923
28,137,138,9,12,12,13,13,9,13,10,5,6,12,8,9,13,13,16,13,13,12,10,14,16,11,8,16,6,16,16,13,12,14,13,12,14,14,13,12,6,12,8,12,3,3,3,1,2,1,2,1,1,2,3,13,13,6,13,9,15,15,13,1,1,1,1,1,1,1,15,10,17,16,12,20,15,185,77,11,20,12354979,6857,6857,5107,131,4,15,4,21740
32,137,143,12,12,13,10,13,11,9,10,9,13,14,19,14,14,12,13,13,12,12,12,13,13,12,9,14,13,15,16,15,13,9,8,15,15,14,8,13,7,13,6,15,2,3,2,3,1,1,3,2,2,1,2,9,12,13,8,13,13,8,10,1,8,1,15,12,15,17,9,20,15,1,1,8,1,175,76,11,20,347975206,6990,6990,4550,135,14,2,0,22348
22,137,156,4,10,14,14,12,10,10,12,4,5,12,12,6,13,16,15,15,12,11,10,9,15,14,12,15,5,11,13,16,15,14,12,18,15,14,16,10,15,11,7,8,2,1,3,2,1,1,2,4,3,2,3,12,17,13,10,16,11,11,14,1,1,1,1,1,1,1,1,1,1,16,8,15,20,183,72,11,20,27999999,6850,6850,5800,135,18,12,4,57996
29,137,139,13,15,14,9,11,13,9,12,16,12,12,8,12,11,14,10,14,9,12,8,9,13,11,14,12,11,13,16,14,11,14,12,18,17,15,13,13,10,12,3,14,2,2,3,1,2,2,3,1,2,2,4,4,14,4,17,11,17,14,14,1,20,10,12,20,12,1,16,1,1,15,1,1,1,185,87,20,10,5851022,6636,6636,5986,123,3,6,0,16781
31,137,145,6,2,2,1,9,8,2,1,2,3,8,1,2,10,13,12,16,9,14,7,12,17,3,15,3,12,13,14,12,16,11,11,11,12,12,11,11,7,15,7,13,11,13,15,6,12,12,14,16,9,15,12,12,15,10,14,9,15,12,8,20,1,1,1,1,1,1,1,1,1,1,1,1,1,185,73,7,20,6034434,6850,6850,5250,132,6,0,0,28999
36,137,148,4,3,7,4,13,3,7,10,10,11,12,10,13,12,13,15,14,14,15,10,13,16,7,13,8,14,13,12,11,13,14,14,16,10,12,16,14,6,15,6,3,14,14,11,18,12,15,15,14,14,5,14,12,13,12,17,14,14,18,11,20,1,1,1,1,1,1,1,1,1,1,1,1,1,192,90,6,20,596084,6944,6858,6216,141,8,6,0,24343
22,137,156,10,6,12,6,15,7,6,8,4,14,15,9,13,15,15,14,14,14,13,15,13,15,13,14,14,15,15,16,12,13,12,7,14,12,16,11,14,10,13,6,15,1,1,1,3,1,2,3,1,2,3,3,17,13,7,14,12,15,13,17,1,1,1,1,1,1,19,1,20,1,1,15,1,1,174,63,10,20,21330001,7000,6850,4500,136,6,0,0,57533
22,137,165,10,10,13,8,15,10,10,12,10,11,14,11,13,14,13,14,12,14,14,13,12,15,14,12,13,11,16,15,13,13,11,10,14,14,14,12,12,12,14,14,12,3,1,2,1,3,1,3,3,3,3,1,14,14,6,14,12,14,12,14,1,1,1,1,1,1,19,1,20,1,1,12,1,1,184,0,12,20,42568967,6948,6948,5248,136,17,1,0,57996
23,137,148,6,10,10,8,12,7,14,9,11,15,13,8,13,13,13,14,16,14,12,13,11,14,7,13,9,13,14,14,10,9,13,17,15,14,14,17,12,15,6,12,8,1,2,2,3,2,3,3,3,3,3,1,10,13,11,16,8,15,13,8,1,10,20,1,1,1,17,1,5,1,1,1,1,1,196,85,20,12,21059998,7250,6750,5250,136,11,0,0,19549
30,137,142,10,14,11,12,12,7,13,9,11,11,12,7,11,13,10,13,14,13,14,12,13,14,9,10,16,13,14,16,14,13,13,11,14,15,14,11,16,13,13,7,15,2,1,2,2,2,3,1,1,2,3,2,12,14,8,11,13,15,15,10,1,10,15,19,10,20,1,1,10,17,1,1,1,1,180,71,9,20,5988914,6850,6750,5250,134,4,0,0,17885
25,137,148,7,8,13,15,13,8,14,11,4,7,10,10,6,13,12,13,14,14,10,10,12,12,14,8,15,10,13,15,14,13,16,16,13,14,13,15,12,5,12,7,5,4,1,1,1,3,3,2,1,1,1,3,12,13,11,7,10,12,12,12,1,1,1,1,1,1,1,1,1,1,1,11,1,20,192,88,10,20,23662314,6850,6850,5500,137,16,0,0,57996
27,137,138,12,12,16,13,13,11,11,12,4,8,12,12,6,14,12,11,14,10,10,13,10,17,14,10,13,5,12,15,16,15,11,6,12,16,14,9,10,11,13,8,11,1,1,2,3,3,2,3,2,3,2,1,10,12,9,10,12,10,9,12,1,1,1,5,1,7,1,12,1,13,20,10,19,18,168,65,7,20,19302876,6786,6786,4229,131,12,0,0,26836
26,137,145,4,9,10,6,11,5,14,7,12,15,13,9,15,12,12,13,16,14,11,12,13,15,9,14,7,12,14,12,13,12,16,15,14,15,14,15,14,10,15,6,13,3,1,1,4,1,3,2,1,1,3,2,13,15,6,8,16,14,12,14,1,17,20,10,12,8,14,1,10,1,1,1,1,1,187,79,20,9,5145562,6844,6844,5351,137,10,17,2,103561
23,137,154,10,13,14,10,14,8,10,10,8,13,15,8,14,14,8,14,14,14,13,14,14,12,14,13,14,13,15,12,11,13,15,14,13,12,15,16,14,11,12,11,12,2,3,2,1,2,2,2,2,2,3,4,9,15,3,13,13,14,15,16,1,1,1,1,1,1,18,1,20,1,1,1,1,1,188,82,8,20,35077931,6850,6850,5250,139,17,0,0,92793
30,137,142,7,9,9,9,12,4,16,4,13,14,13,5,15,12,13,15,17,13,13,12,13,16,8,13,9,13,17,17,9,8,8,19,12,14,15,16,14,5,12,5,5,3,1,4,3,2,3,1,1,3,3,3,8,14,4,14,12,18,15,10,1,17,20,1,14,1,1,1,1,1,1,1,1,1,201,87,20,8,36895465,6850,6850,5500,137,6,0,0,57996
27,137,140,12,13,14,12,14,10,8,11,5,11,14,13,11,14,15,14,14,11,14,16,13,12,14,14,15,15,14,14,15,12,12,5,13,13,14,10,13,12,14,7,15,1,4,2,2,3,3,1,1,2,2,1,18,10,7,10,9,11,12,12,1,1,1,1,1,1,14,15,20,19,9,1,14,1,168,69,10,20,1371204,5973,6121,2962,137,8,7,0,9782
32,137,142,5,3,1,3,9,6,6,3,1,3,8,3,3,9,8,16,11,13,16,7,12,13,4,11,3,8,17,10,12,14,12,14,16,10,12,14,17,5,14,4,14,13,10,14,8,16,11,16,16,16,8,15,8,14,6,14,12,18,16,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,187,82,7,20,5931272,6734,6734,5984,133,2,0,0,57692
26,137,138,7,16,10,7,12,7,12,10,12,14,12,7,15,12,13,13,15,12,11,10,13,14,9,8,11,14,14,15,15,11,14,12,14,14,15,14,12,10,14,8,13,2,2,3,3,2,1,3,1,3,2,1,12,12,10,12,11,12,4,8,1,11,14,20,11,19,1,1,1,1,1,1,1,1,180,71,10,20,28764795,6842,6842,5242,135,13,13,0,40597
29,137,144,5,7,11,9,13,7,14,9,8,13,15,10,13,15,15,13,16,15,14,15,13,17,6,18,12,14,14,16,12,13,14,13,15,12,14,13,16,13,14,4,15,2,2,3,1,2,3,1,2,4,2,2,15,16,8,14,16,16,16,11,1,1,20,10,1,1,10,1,10,1,1,1,1,1,186,80,9,20,43061932,7000,7200,5750,137,5,10,1,69595
26,137,142,5,10,8,9,10,6,12,6,15,12,11,7,13,11,12,14,16,10,12,9,11,15,7,11,14,11,13,14,13,9,15,15,16,18,17,15,13,10,15,7,16,1,2,1,1,1,1,2,3,2,1,3,12,16,6,7,13,13,15,17,1,16,15,20,14,18,1,8,1,10,8,1,10,1,187,88,11,20,13628164,7000,7000,5250,126,3,18,0,95889
25,137,145,10,11,19,12,15,12,6,14,4,4,14,11,5,17,8,10,8,12,6,12,10,13,18,7,14,3,9,9,16,17,12,4,13,16,11,11,10,8,12,12,14,1,3,2,1,2,3,1,1,3,1,4,13,15,7,11,10,13,10,14,1,1,1,1,1,1,1,14,1,8,20,18,13,14,174,72,9,20,20850322,6847,6847,5747,129,17,10,1,53462
28,137,142,11,12,13,11,12,11,9,13,6,8,13,10,10,12,16,12,15,10,12,14,10,16,14,9,15,7,12,16,14,12,16,11,15,16,14,15,11,6,13,6,17,2,3,2,3,2,1,1,2,2,2,3,13,15,5,10,13,14,12,10,1,1,1,1,1,1,1,16,15,13,16,20,13,18,183,77,9,20,9826942,6850,6850,5750,128,12,42,12,14999
22,137,151,7,12,12,12,10,9,7,11,6,12,12,9,12,14,4,13,7,13,12,14,11,12,14,7,15,12,14,15,15,14,13,8,17,15,16,8,12,4,13,2,14,2,1,2,1,2,2,1,1,4,1,2,14,14,8,14,13,12,10,15,1,19,1,1,20,1,1,16,1,1,18,1,10,1,178,71,20,8,42777752,6842,6842,5742,127,17,0,0,63795
28,137,139,14,14,12,11,14,15,7,14,5,11,15,15,12,13,9,13,14,13,13,15,13,16,8,14,13,12,16,16,13,14,12,9,14,13,14,12,14,9,13,7,15,3,1,2,2,1,2,4,1,4,3,1,13,14,6,15,12,16,14,16,1,1,1,1,1,10,10,1,20,15,12,1,18,1,178,68,8,20,11500212,6850,6850,4007,138,6,0,0,40197
25,137,143,12,11,13,11,14,7,11,13,4,10,15,14,14,14,15,13,12,14,13,13,13,14,14,10,13,13,14,13,13,12,14,11,14,13,14,13,13,14,13,9,11,2,2,2,3,1,1,1,2,3,2,1,12,13,9,12,12,15,13,13,1,1,1,1,1,1,17,1,20,1,1,17,1,1,182,77,12,20,9337307,6850,6900,5200,137,3,30,1,25000
25,137,145,8,11,14,14,12,8,13,11,6,5,12,13,6,13,8,13,13,12,12,10,11,14,13,10,14,9,12,13,17,14,14,13,14,17,15,14,14,9,13,9,9,2,3,2,4,2,1,1,3,2,3,2,12,14,3,12,10,10,11,17,1,1,1,1,1,1,1,1,1,1,10,1,15,20,180,75,20,7,9060929,6845,6495,4249,137,17,17,2,19911
25,137,155,4,1,2,2,11,8,7,3,2,1,12,3,1,11,13,13,13,15,12,9,12,12,2,11,1,10,15,12,13,15,12,15,14,11,10,13,12,8,15,5,13,14,15,9,12,11,14,15,16,17,10,14,11,16,15,6,13,15,7,11,20,1,1,1,1,1,1,1,1,1,1,1,1,1,193,88,14,20,3576621,6840,6740,5240,137,2,0,0,105768
31,137,144,9,14,15,10,13,6,7,12,5,9,12,6,9,13,11,12,9,11,12,12,12,14,15,9,16,10,11,14,16,13,13,10,13,17,15,11,14,7,8,7,17,3,1,2,2,1,3,2,2,3,3,1,13,13,7,12,11,17,11,9,1,14,1,11,20,16,1,18,10,15,14,11,12,1,181,66,10,20,347975206,6850,6800,5200,130,2,23,0,21346
30,137,150,13,11,13,13,14,12,8,12,6,9,12,14,8,15,8,12,10,10,12,10,11,18,16,10,14,8,10,10,16,15,13,9,16,16,12,9,13,5,13,7,14,2,3,1,3,2,2,3,1,1,1,4,15,13,12,16,15,14,16,13,1,9,1,9,11,11,1,15,11,14,20,17,16,14,174,71,10,20,10767493,6876,6414,6364,129,14,50,7,47950
34,137,144,14,12,13,11,11,14,8,12,12,9,11,14,12,12,14,12,15,10,13,12,11,13,11,9,12,11,15,16,13,11,15,9,14,14,15,13,13,8,14,5,16,3,3,4,3,3,3,3,2,3,4,3,9,14,6,12,11,15,13,10,1,1,1,16,1,20,1,15,10,18,15,13,18,10,182,80,10,20,701317,6850,6850,5500,126,5,0,0,34520
24,137,156,14,13,15,12,17,13,7,12,8,5,17,14,7,17,10,14,11,14,12,16,14,13,18,11,14,9,13,12,12,12,12,10,14,13,12,11,12,10,17,6,9,2,1,2,1,2,3,2,1,3,3,3,18,16,7,17,14,13,11,12,1,1,1,1,1,1,6,10,20,9,9,18,11,8,180,73,20,9,8478633,6850,6850,5350,134,7,0,0,76922
25,137,144,11,12,13,12,15,11,8,11,13,10,14,13,11,15,8,13,12,15,14,15,15,14,13,10,14,11,14,14,12,15,16,9,13,12,14,7,13,7,15,5,12,2,2,3,2,2,2,3,1,3,3,1,16,15,7,13,14,15,12,13,1,1,1,1,1,1,1,1,20,1,1,16,1,1,176,66,10,20,5414655,6785,6785,4766,138,11,32,0,21398
26,137,150,11,13,12,11,16,16,4,13,5,6,16,12,10,16,11,15,11,15,12,15,15,15,16,11,13,13,16,12,13,16,10,4,7,13,10,7,11,8,15,20,11,2,3,2,2,1,1,2,3,1,2,3,12,15,9,12,15,16,15,13,1,1,1,1,1,1,18,1,20,1,1,16,1,1,168,63,12,20,4423330,6846,6746,6246,136,5,9,3,71154
24,137,144,15,16,16,12,14,14,10,13,5,9,15,15,11,17,12,16,10,13,14,15,13,13,15,8,13,11,13,15,13,16,11,8,13,9,16,7,13,9,11,9,10,1,3,3,2,3,3,3,1,3,2,3,10,14,8,12,12,14,11,11,1,1,1,1,1,1,1,1,17,12,8,20,13,1,176,75,20,9,18601140,6900,6900,5250,139,4,8,2,30178
25,137,145,15,15,16,14,16,14,11,14,7,7,16,13,10,16,15,13,11,15,14,15,13,12,16,16,13,8,13,13,12,14,10,13,13,13,11,12,12,14,14,10,15,1,1,3,2,3,3,4,1,2,2,1,13,15,2,16,14,15,8,10,1,1,1,1,1,1,5,10,18,14,12,20,15,13,183,74,20,8,12931966,6900,6900,5250,138,1,39,2,23014
22,137,156,11,12,14,13,16,11,7,8,5,3,12,13,8,17,7,12,11,13,14,13,12,13,14,8,14,9,11,11,16,15,13,9,13,16,13,12,13,7,11,9,13,1,3,1,3,4,1,2,3,1,1,1,16,16,3,6,12,13,14,12,1,1,1,1,1,1,1,1,1,17,1,13,20,1,175,73,20,5,65175826,7500,7000,6000,135,15,0,0,28236
25,137,150,8,12,14,12,14,7,12,11,4,9,14,10,12,14,15,13,15,13,14,13,12,17,14,10,16,11,15,17,14,12,14,13,13,14,15,12,13,12,13,6,15,1,2,2,1,1,1,3,3,3,3,1,15,16,8,14,16,17,13,13,1,1,1,1,1,1,14,5,20,7,10,20,11,7,187,75,20,10,8488460,6850,7000,6100,135,2,14,4,35577
25,137,144,8,10,13,9,13,8,9,12,7,10,14,10,12,14,15,12,10,13,11,14,13,12,10,9,14,11,13,16,13,13,12,12,17,17,16,12,12,8,11,7,12,2,2,2,3,2,3,2,1,1,1,1,9,16,5,12,10,15,14,17,1,1,1,1,1,1,16,10,20,10,10,14,10,1,184,76,11,20,11846703,7000,6750,6250,135,13,30,0,41665
25,137,145,7,13,14,9,14,7,12,8,8,12,13,7,13,13,12,13,13,14,13,13,14,15,13,9,12,13,13,14,16,13,13,8,14,16,13,12,15,4,13,11,11,1,3,2,2,4,4,2,3,2,4,1,13,14,7,12,14,14,15,14,1,20,1,1,19,1,1,14,1,1,12,1,1,1,170,66,20,7,29038095,6850,6850,6000,133,12,0,0,46397
22,137,153,11,13,13,8,10,12,5,11,14,11,12,7,11,12,14,13,15,12,14,13,11,14,11,12,13,13,15,16,16,13,17,5,14,15,14,11,13,9,11,9,11,1,2,2,1,3,2,2,1,2,3,1,13,14,6,13,14,16,14,14,1,20,1,1,18,1,1,15,1,1,15,1,1,1,168,64,20,8,10000000,6841,6841,4841,127,6,0,0,3068
23,137,157,8,8,13,14,14,9,12,11,4,5,11,14,6,14,11,12,12,13,13,10,11,14,14,5,14,5,12,12,16,15,14,10,12,16,14,12,12,10,11,7,12,3,1,1,1,2,2,3,3,2,3,2,12,13,7,9,11,13,11,12,1,1,1,1,1,1,1,13,10,13,15,13,16,20,178,74,10,20,20158525,7000,6850,6000,131,12,18,4,76711
29,137,140,13,13,15,14,15,12,7,15,3,6,16,13,6,15,9,13,10,14,13,15,16,10,15,11,15,10,11,11,12,14,12,7,15,13,11,9,12,6,10,4,12,1,1,1,3,3,3,1,1,1,4,1,7,15,7,12,8,12,15,15,1,1,1,1,1,1,1,11,15,15,14,20,19,1,170,63,12,20,12581338,6834,6823,5391,136,4,54,11,15384
35,137,148,13,13,11,10,14,12,6,15,10,9,16,17,11,14,13,11,16,13,14,15,13,17,12,15,15,12,14,15,12,13,14,9,15,12,12,10,12,8,12,14,13,3,1,3,1,3,2,3,1,3,1,3,11,14,8,12,18,18,12,15,1,12,8,1,14,1,20,18,20,1,15,15,1,1,169,60,20,8,764362,6850,7400,5850,127,11,175,28,18389
27,137,148,6,12,8,11,13,6,11,12,11,12,13,10,12,13,9,13,13,15,13,14,14,14,12,13,13,12,14,16,12,10,15,11,14,11,17,12,16,12,13,4,16,2,1,4,1,1,3,1,4,3,2,1,13,12,6,13,14,15,13,11,1,1,20,1,1,1,20,1,17,1,1,1,1,1,182,82,10,20,4348094,6640,7092,3173,123,11,24,1,17590
33,137,138,6,3,2,2,9,8,3,2,1,2,12,2,2,10,7,13,13,12,13,12,13,14,1,10,1,13,12,13,11,13,13,13,14,11,13,13,11,12,9,12,14,13,13,13,5,13,13,13,13,6,11,13,13,12,8,15,12,13,13,12,20,1,1,1,1,1,1,1,1,1,1,1,1,1,185,87,20,9,347975206,6706,6820,4987,129,8,11,0,18241
23,137,146,6,7,15,14,14,10,10,10,7,6,13,14,8,15,5,11,11,11,10,11,13,14,16,7,15,8,9,14,16,17,9,8,11,17,14,11,13,4,12,15,11,3,2,2,1,1,2,1,3,1,3,1,13,6,5,17,11,13,14,12,1,1,1,1,1,1,1,1,1,1,15,15,1,20,176,69,12,20,15317873,6993,5856,4115,133,14,0,0,25000
22,137,160,7,9,10,9,13,8,8,9,5,14,13,10,14,12,12,14,16,12,13,14,13,17,10,8,10,14,14,15,16,14,12,8,14,14,14,13,12,7,10,5,8,1,2,2,4,2,1,2,1,3,2,3,13,12,1,13,13,10,10,11,1,1,1,1,1,1,17,1,20,1,1,1,1,1,174,73,13,20,33919997,6850,6500,4650,135,15,15,3,23363
27,137,146,14,12,15,11,13,13,6,11,6,7,14,4,10,15,11,13,12,14,13,13,12,14,14,9,15,8,12,12,15,14,14,8,13,15,14,9,11,9,8,5,12,2,1,2,1,4,1,3,2,1,3,2,14,15,4,11,12,8,10,14,1,1,1,1,1,1,1,12,1,13,18,1,20,13,176,74,9,20,12770906,6850,6500,4700,135,14,0,0,38461
31,136,152,6,10,16,13,12,6,15,11,3,6,13,11,5,13,15,13,15,12,11,13,11,16,16,5,15,5,13,13,16,13,12,17,16,17,14,10,13,15,18,14,13,1,3,2,2,3,3,1,3,2,1,3,8,14,10,13,9,15,6,6,1,1,1,1,1,1,1,1,1,1,20,1,12,19,183,74,8,20,347975206,6800,6800,4500,131,15,2,0,44697
24,136,145,6,8,12,15,13,8,15,12,5,4,12,15,6,12,8,14,14,14,12,10,14,12,13,9,16,7,12,10,12,12,12,13,14,13,15,15,12,9,14,5,7,2,4,1,3,4,3,1,1,3,3,3,12,13,8,13,13,11,8,9,1,1,1,1,1,1,1,1,1,1,1,1,6,20,186,89,13,20,9966417,6800,7496,5397,136,7,0,0,41923
21,136,162,8,13,14,13,12,11,8,10,5,7,14,14,6,13,6,11,12,13,10,12,13,12,13,10,13,8,12,13,16,13,12,8,14,15,13,9,13,5,13,3,9,3,3,3,3,2,1,3,3,1,2,1,11,12,3,13,14,12,10,12,1,1,1,1,1,1,1,10,9,12,14,17,20,18,180,0,10,20,47361745,6800,6800,5000,129,13,13,2,46397
24,136,139,9,11,14,10,13,8,7,12,4,5,12,10,6,13,12,11,9,10,11,11,12,4,13,7,12,5,14,14,17,15,11,5,13,17,15,10,12,8,13,8,12,2,2,1,3,1,2,4,3,2,4,3,15,13,6,12,10,11,10,20,1,1,1,1,1,1,1,1,1,12,13,13,18,20,173,67,7,20,10704286,6810,6805,4110,110,16,23,6,12997
31,136,140,11,14,16,12,14,10,8,14,10,6,14,13,7,15,8,11,13,14,11,12,12,11,16,6,13,8,8,11,15,14,13,8,12,15,12,12,12,5,11,7,12,1,1,2,3,3,3,1,3,1,3,2,13,18,7,5,12,13,11,10,1,1,1,1,1,1,1,8,14,13,18,8,20,5,180,73,10,20,347975206,6700,6700,5500,134,13,87,14,66736
24,136,145,9,13,14,11,11,10,11,13,10,12,14,12,15,11,7,12,10,13,13,13,16,12,12,13,11,13,15,12,14,12,10,15,10,12,14,12,11,8,13,12,11,1,3,2,2,3,2,3,2,1,3,1,4,12,5,13,7,12,15,13,1,19,20,1,15,1,10,10,8,1,5,1,1,1,188,79,20,8,16505775,6950,6450,4850,133,1,22,1,14999
32,136,145,14,13,15,15,15,12,9,12,5,7,15,14,10,15,10,13,12,14,12,15,14,14,15,12,14,7,9,12,14,15,12,6,15,14,13,7,16,10,13,6,12,1,2,3,3,1,1,1,2,3,3,2,7,15,5,15,12,14,12,15,1,1,1,1,1,1,1,11,16,12,15,20,17,10,172,66,10,20,4571484,6800,6550,5500,137,6,4,0,26270
26,136,142,6,7,11,7,11,5,15,7,6,15,14,6,11,12,16,13,15,12,11,12,12,14,11,9,7,15,13,13,13,11,14,16,16,14,14,16,13,3,11,10,7,2,1,3,4,2,2,1,1,2,1,3,13,13,5,8,14,12,13,9,1,1,20,15,1,1,1,1,1,1,1,1,1,1,192,84,10,20,12046319,6800,5763,5500,134,11,0,0,5514
33,136,145,16,15,11,12,15,16,7,15,7,7,16,17,7,16,13,12,13,14,14,15,14,15,16,14,11,11,15,14,11,12,12,10,13,11,12,11,15,6,13,6,6,1,2,1,3,3,1,2,3,2,2,1,19,14,13,10,9,11,12,19,1,1,1,1,1,1,1,13,16,15,15,20,20,1,176,69,12,20,2762183,7000,7000,4750,134,6,0,0,19847
31,136,137,13,13,14,11,15,12,8,12,7,12,13,12,11,15,12,12,14,13,14,14,15,13,17,12,14,14,14,15,14,13,12,7,14,15,13,12,14,6,15,9,14,2,3,1,2,1,3,2,2,1,2,1,7,14,7,13,13,13,7,11,1,1,1,1,1,1,15,1,20,1,1,15,1,1,177,70,7,20,347975206,6341,6851,4561,138,10,0,0,44728
22,136,154,11,12,13,8,13,8,9,11,11,10,12,7,13,13,12,10,13,10,8,13,10,12,12,6,13,9,13,13,17,14,12,12,16,16,14,13,10,9,10,6,12,1,2,2,3,1,4,2,2,2,3,1,16,15,16,7,8,9,9,11,1,20,1,14,18,14,1,16,1,1,13,1,1,1,183,75,20,11,32361694,6800,6800,5000,122,13,0,0,34798
27,136,145,12,13,14,11,15,13,8,13,5,8,15,10,11,14,13,14,12,14,12,15,13,14,14,10,13,10,16,15,14,14,15,8,14,14,14,12,10,8,11,14,11,1,3,1,2,2,2,3,3,2,2,2,7,15,9,16,14,15,14,15,1,1,1,1,1,1,13,13,20,13,13,17,13,1,180,73,8,20,21278174,6799,6949,5499,137,6,0,0,69595
26,136,137,14,14,13,10,9,12,6,11,3,5,12,14,6,11,12,13,12,8,11,10,8,12,13,6,14,5,12,14,18,15,14,8,16,17,15,13,12,6,13,6,15,3,2,1,1,1,3,1,3,1,2,1,14,14,20,7,14,6,7,8,1,1,1,1,1,1,1,16,1,16,20,1,19,14,178,65,9,20,6113072,6750,6500,4400,130,13,4,0,19066
